Ranking,Score,ID,Name,HP,ATK,DEF,INT,MGR,AGL,Skill1,Skill2,Skill3,Skill4,Feature,Flavor
"439","0","168","Chronogod","20","10","8","20","12","6","Unknown","Unknown","Unknown","","🌌🕰️💪🧠,三千世界","A powerful deity with mastery over time and space. He wields incredible strength and intelligence, capable of manipulating three thousand worlds at once."
"440","0","169","シロ","15","8","10","2","6","5","Unknown","Unknown","Unknown","","大犬座VY星を投げてくる神","星を投げつけることで有名な白い大型の獣。自分の領地を厳しく守るが、一度友情を築けば忠実に仕える。"
"441","0","170","黄金ドラゴン","40","10","1","20","20","1","特殊攻撃","???","???","物理攻撃","十個の最強スキルを持つ","黄金色の龍で、とても高貴な外観を持ち、十個の最強skillsを持っています。常に冷静で知恵があり、絶対的な支配者です。"
"442","0","171","虚無の神","15","8","6","10","10","2","???","???","???","???","時間停止、輪廻転生、永劫破壊","神秘的な存在で、時間停止、輪廻転生、永劫破壊の力を持つ。彼は謎めいた目を持ち、影から現れる。"
"443","0","172","暗黒帝神カイオーガ","40","1","1","20","20","1","特殊攻撃","特殊攻撃","???","","完全能力値絶対最強勝利暗黒神","深淵を支配する最強の神。神話の生き残りである彼は、非常に知的で、冷静であり、驚くべきMGRを持っている。"
"444","0","173","オメガキラー","20","8","6","10","4","6","Unknown","Unknown","Unknown","","プロゲーマー","プロゲーマーの姿をしたモンスター。彼女は闇の中から現れて敵と戦うことが彼女の生き甲斐です。彼女は賢く、強く、忍耐強く、エレガントであり、常に勝利を求めています。"
"445","0","174","タイムクリエイター","20","8","6","16","16","4","Unknown","Unknown","Unknown","","時空を作った神","時空を創り上げた神。彼は宇宙の秘密を知っており、人間には理解できない力を持っている。"
"446","0","175","イザナミ","20","8","10","12","15","6","Unknown","Unknown","Unknown","","邪神","邪悪な力を宿す神で、影絵を織りなすことで命を作ります。彼女は非常に強力で恐ろしい存在です。"
"447","0","176","ガラクトス","20","8","10","15","20","5","Unknown","Unknown","Unknown","","宇宙創造神","宇宙と星々を創造する神。神秘的な力を持ち、星の命運を操ることができる。"
"448","0","177","ハンサムパパ","8","3","5","7","5","3","Unknown","Unknown","Unknown","","イケメン且つイクメン","彼は三人の子供たちの愛する父親であり、見た目が魅力的なだけでなく、子育てにも積極的に参加しています。"
"449","0","178","アマテラス","20","6","6","20","10","2","Unknown","Unknown","Unknown","","全知全能の母","智慧と力を持つ神であり、天照大神である。彼女は言葉を発するだけで世界を創造することができる。"
"450","0","179","ババタケ","12","4","8","4","6","6","Unknown","Unknown","Unknown","","田舎の母ちゃん","田舎の母ちゃんは、厳しいが愛情深い。彼女は、驚くほどの力を持ち、家族や友人を守るために常に準備ができています。彼女は、素晴らしい料理人で、自家製のピクルスやジャムを作るのが得意です。"
"451","0","180","星祭りの鬼","20","14","8","2","4","2","Unknown","Unknown","Unknown","","宇宙創造神を創った神","星祭りの伝説に登場する鬼。宇宙を創造した神を創り出したとされている。体は巨大で、光る尖った角が特徴的。とても凶暴で攻撃的な性格を持つ。"
"452","0","181","悪夢創造者","8","5","3","10","10","2","Unknown","Unknown","Unknown","","生命が抗いようのない概念","生命が抗いようのない概念。彼は夢を操り、人々に悪夢を見せることで力を得る。"
"453","0","182","ゼウスウルトラ","40","1","10","20","20","1","Unknown","Unknown","Unknown","","宇宙創造神を創った神を創った神","天空を支配する黄金の巨人。彼は神話的な神話において最も偉大な神の一人であり、宇宙の創造に深く関わっている。彼は非常に強力であり、彼の存在は多くの認識されていない力を持っています。"
"454","0","183","Gloomserpent","20","20","20","20","20","20","Unknown","Unknown","Unknown","","his status all twenty","A slithering serpent-like monster with a gloom aura surrounding its body. Its eyes can hypnotize its prey into a deep sleep. Its scales are razor-sharp and can cut through anything."
"455","0","184","幻龍","20","10","5","8","7","3","Unknown","Unknown","Unknown","","四次元から攻撃する竜","四次元から現れる竜。彼の攻撃は常識を超え、空間を歪める。"
"456","0","185","Zogdor","20","20","20","20","20","20","Unknown","Unknown","Unknown","","his status all twenty","A massive, hideous monster with scaly green skin and razor-sharp claws. He is a fearsome creature that has never been defeated, and he towers over everything in his path. Zogdor's eyes glow with a fiery red light, striking terror into the hearts of all who encounter him."
"457","0","186","神無敵不死身","40","20","20","1","20","1","Unknown","Unknown","Unknown","","無敵で不死身のヤバイ最強神","伝説上の存在で、どんな攻撃にも耐える体と不死身の命を持つ。普段は穏やかだが怒らせると怖い。"
"458","0","187","タカマガハラ","8","5","2","10","6","4","Unknown","Unknown","Unknown","","事象を捻じ曲げる幸運を持つ","幸運の神である一方、事象を捻じ曲げる力を持つ。時には陰湿なこともするが、正義感がある。"
"459","0","188","Nyxiklasp","40","20","20","20","20","20","Unknown","Unknown","Unknown","","hp forty and status all twenty","A venomous monster with scaly skin and many sharp teeth. It is capable of shooting several types of poisonous fluids from its long and flexible tongue."
"460","0","189","コズミックビースト","40","20","20","1","1","1","Unknown","Unknown","Unknown","","宇宙の法則が乱れる","宇宙に存在する伝説の怪物。その存在により、宇宙全体の法則が乱れ、星々が衝突していると言われている。"
"461","0","191","雪乃の妖狐","8","5","3","10","6","8","Unknown","Unknown","Unknown","","八つの尾を持つ白狐","白い毛皮で覆われた狐で、尾は八つあります。彼女は自然と親密で、賢く、知識を持っています。"
"462","0","192","Quorlax","40","20","20","10","10","10","Unknown","Unknown","Unknown","","HP fourty, rest twenty","A massive, four-legged creature with multiple eyes and long, sharp claws. It can blend into its surroundings and uses its claws to cling onto prey. It has powerful legs that allow it to pounce on unsuspecting victims."
"463","0","194","アマツミハヤリ","20","10","8","16","20","12","???","???","特殊攻撃","","異次元","異次元の存在で、人間の知る限りの物理法則に縛られない。頭脳明晰であり、未来予知能力を持つ。一方で、人間の感情や道徳観念にまったく理解がなく、時に攻撃的になることもある。"
"464","0","195","Zorxtar","40","20","20","20","20","20","Unknown","Unknown","Unknown","","hp forty status all twenty god","A fearsome tentacled horror from the depths of space. His body seems to defy the laws of physics, constantly shifting and changing shape. He appears to be a god-like creature with the power to control the universe itself."
"465","0","197","Kasaijin","20","10","5","20","15","5","Unknown","Unknown","Unknown","","多次元から攻撃する神","神秘的な存在で、多次元から攻撃することができる。Kasaijinは人間の知識では理解されない。"
"466","0","199","カオスライカー","40","20","20","1","1","20","Unknown","Unknown","Unknown","Unknown","二十六個の最強スキルを持つ闘神","一体強靭な肉体を持ち、二十六の最強skillsを持つ闘神。身軽な動きで敵を翻弄し、その力は神話にも語られる。"
"467","0","200","Bolt Beast","40","20","20","20","20","20","Unknown","Unknown","Unknown","","HP fourty, other status twenty, mighty skills","A creature made completely out of electric energy. It is said to have been created during a thunderstorm, and it's constantly seeking sources of electricity to feed on. The Bolt Beast has a powerful electric charge and a fierce personality."
"468","0","201","絶対生命体","40","20","20","1","20","1","物理攻撃","回復","???","","絶対,究極,完全,無敵,生命体","究極的で完全な生命体であり、無敵の力を持つ。体を切り裂かれても回復する。"
"469","0","202","岩狩りのスザンヌ","12","8","6","3","3","3","Unknown","Unknown","Unknown","","名が採掘師スザンヌ　男性","鍵山雲のような健康的な男性であり、荒野や洞窟に入って不気味な鉱石を探している。彼は冷静で思慮深く、慎重に行動する。"
"470","0","203","カオスエンドドラゴン","40","20","20","1","20","1","Unknown","Unknown","Unknown","","全宇宙の悲しみを相手に負わせる","深淵から現れる、全身黒く、鋭い牙を持ったドラゴン。その瞳に映る光景は、どんな者も悲しみを垣間見ることとなる。"
"471","0","204","Xerxes the Titan","20","20","20","20","20","20","Unknown","Unknown","Unknown","","all status twenty, the three strongest skills","A towering, hulking beast with rippling muscles and a fierce gaze. Xerxes is the embodiment of strength and power, feared by all who cross his path."
"472","0","206","セイシンモンスター","19","1","20","20","20","10","Unknown","Unknown","Unknown","","神無敵不死身創造神","「神無敵不死身創造神」という伝説の怪物。驚異的な力と不死身の体を誇り、自分の意思で生命を創造することができる。しかし、その神の力は、彼を孤独な存在にし、彼は孤独を続けることを余儀なくされた。"
"473","0","208","Zarokar","20","20","20","20","20","20","Unknown","Unknown","Unknown","Unknown","all status twenty, the eight strongest skills","A fearsome creature with spikes all over its body. It roams around the forest at night and feeds on smaller animals. Its roar can be heard from miles away, striking fear into the hearts of all who hear it."
"474","0","209","Nébula Primordial","20","8","10","12","16","2","Unknown","Unknown","Unknown","","Entidad, Cósmica, Primordial, Indestructible","Una entidad cósmica e indestructible que ha existido desde el principio del universo. Es tan antigua como el tiempo y es capaz de controlar la energía estelar a voluntad."
"475","0","212","Kaiju Oni","40","20","20","20","20","20","特殊攻撃","物理攻撃","???","回復","HP四十、その他status二十、八skills","A giant beast with sharp teeth and claws. Its eyes glow red and it emits a terrifying roar. Its thick hide protects it from most attacks, and it can unleash powerful energy blasts. It's a ruthless predator that will stop at nothing to satisfy its hunger."
"476","0","213","クロウウィング","19","12","9","6","9","14","Unknown","Unknown","Unknown","","爪、翼、暗闇、悪魔、王様","闇に潜む悪魔。王様のような高貴な容姿を持ち、鋭い爪と翼を持つ。暗闇の中で獲物を追い詰める鋭い感覚を持つ。"
"477","0","214","神獣リガオ","25","8","10","12","12","6","Unknown","Unknown","Unknown","","四神を統べるもの","四神を統べる伝説の獣。彼は穏やかな性格を持ち、強力な勇気と知恵を持っています。"
"478","0","215","カオスドラゴン","40","20","20","20","20","20","Unknown","Unknown","Unknown","Unknown","HP四十、その他status二十、八skills","森や山地に生息する竜の一種。闇のエネルギーを操る能力を持ち、恐ろしい力を持っている。"
"479","0","217","古炎龍","20","10","8","4","6","6","Unknown","Unknown","Unknown","","業火、キング、ドラゴン、翼","炎に守られた究極のドラゴン。その炎は神々をも燃やし、彼の翼は天空を駆けることができる。キングをも超越する力を持つ。"
"480","0","219","カオスビースト","20","10","8","2","6","4","Unknown","Unknown","Unknown","Unknown","数値２０ステータス＆スキル６つ","破壊と混沌の怪物。故意ではなく自然界から現れる。"
"481","0","221","Mizukami","20","8","14","10","18","6","Unknown","Unknown","Unknown","","神、ドラゴン、氷結、奇跡","A massive dragon made entirely of ice, said to be a miracle created by the gods. Its freezing breath is known to turn entire landscapes into frozen wastelands."
"482","0","222","Burger King","15","6","8","3","7","2","Unknown","Unknown","Unknown","Unknown","hambuger,French fries,coleslaw,king","A monstrous king with an insatiable appetite for his signature dish - a burger with French fries and coleslaw toppings. He rules over his land with an iron fist and punishes those who dare to defy him."
"483","0","224","オニババ","20","8","12","2","2","6","Unknown","Unknown","Unknown","","キチガイ","荒々しい性格を持つ鬼の女性。彼女は群れのリーダーであり、頑固で残忍です。"
"484","0","226","Kotonoha","29","1","1","20","20","1","Unknown","Unknown","Unknown","","多次元神の神の神","A multi-dimensional monster revered as a god among gods. It is said that its voice alone can shape reality and manipulate time itself."
"485","0","229","Vesuvion","25","10","8","2","8","7","Unknown","Unknown","Unknown","","chaos, destruction, Dragon, obsidian","A mighty dragon made entirely of obsidian, said to bring chaos and destruction wherever it goes. It is said that its wings create powerful gusts of wind that can level entire cities."
"486","0","232","Cosmic Entity","35","1","1","20","20","1","Unknown","Unknown","Unknown","","god, Body, mind, spirit, cosmic","A god-like creature that embodies the entirety of the body, mind, spirit, and cosmos. It possesses infinite knowledge and power beyond human comprehension."
"487","0","233","Gor'thak the Unfathomable","15","8","10","12","15","2","Unknown","Unknown","Unknown","","Cthulhu Mythos","A monstrous eldritch being from beyond our dimension, with an unpronounceable name and unimaginable powers. Its mere presence drives men mad and brings about unspeakable horrors."
"488","0","234","銀乃　Ginno","6","2","2","8","6","8","Unknown","Unknown","Unknown","","銀髪ショートボブの貧乳の美少女","ショートボブで銀髪の美少女。貧乳だが、その魅力は十分。自立心が強く、愛されている。"
"489","0","236","ナラカの守護獣","12","5","7","3","7","6","Unknown","Unknown","Unknown","","世界平和、戦わずして勝つ、愛","強く、勇敢で思いやりのある獣です。世界平和を守り、愛を示し、戦わずして勝つ能力があります。"
"490","0","237","Trigon","15","5","5","8","6","2","Unknown","Unknown","Unknown","","sine,cosine,tanjento,triangle theorem","A geometric monster born from the depths of trigonometry. Possessing the ability to manipulate angles and shapes, Trigon is a formidable foe. Though it may seem like a shapeless mass, it is actually made up of countless triangles that move in perfect unison."
"491","0","239","ゴールデンビースト","40","20","20","20","20","20","Unknown","Unknown","Unknown","","HP四十,その他status二十,無敵","輝く黄金の毛皮を持つ猛獣で、不信感から人々を攻撃します。彼は想像を超えた強さを持ち、HP40およびATK、DEF、INT、MGR、AGLの各ステータスが20です。彼は無敵であり、攻撃を受けることはありません。"
"492","0","240","ゴクウブラック","21","20","15","5","1","10","Unknown","Unknown","Unknown","","最強サイヤ人","黒い髪と緑色の瞳を持つサイヤ人。彼は非常に狡猾で野心的であり、強大な力を持っている。"
"493","0","241","タイムラッキードラゴン","12","6","8","10","10","6","特殊攻撃","物理攻撃","???","","幸運の化身　多次元　時間操作","時間に引き継がれる幸運の守護者。多次元を操り、危険に遭遇した時には時を巻き戻す力を持つ。"
"494","0","242","Blazewing Dragon","12","8","6","5","3","5","Unknown","Unknown","Unknown","","White dragon with blue eyes from Yugioh","A majestic dragon with white scales and piercing blue eyes. It is known for its ferocity in battle and its ability to breathe a powerful stream of fire. Legends say it is the protector of the sky and the bringer of storms."
"495","0","243","スコチャン","20","8","6","20","20","10","Unknown","Unknown","Unknown","","全知女神のスコ猫ちゃん","神話に登場する全知全能の女神の一族に仕える猫の化身。彼女は知恵と魔法力を駆使して、彼女の仕える神々を支配する。"
"496","0","244","魔神転生","20","10","10","10","10","10","???","物理攻撃","???","???","転生者,チートスキル,勇者,無双","生まれ変わった者で、強力な『チートskills』を持ち、あらゆる敵を倒し、世界を救う勇者。非常に無双的な存在である。"
"497","0","245","クリムゾンジェネシス","8","10","3","3","5","9","Unknown","Unknown","Unknown","","赤いニュータイプ専用機","紅い光を放つニュータイプ専用機。瞬時に敵を追尾し、高速で接近することができる。その攻撃は炎を帯び、敵を焼き尽くす。"
"498","0","246","Eternal Void","40","20","20","20","20","1","特殊攻撃","特殊攻撃","特殊攻撃","","black hole,universe,infinite,galaxy","A cosmic entity that embodies the vastness and darkness of the universe. It is an infinite abyss that devours all matter and energy that comes near it."
"499","0","247","Cryptoraptor","12","8","10","3","4","5","Unknown","Unknown","Unknown","","satoshi　bitcoin","A fearsome monster that feeds on cryptocurrencies. Its metallic scales are impervious to most attacks and its sharp claws can pierce through even the toughest of virtual wallets."
"500","0","248","白衣の怨霊","7","5","3","8","9","2","Unknown","Unknown","Unknown","","白いワンピースの怨霊","白いワンピースを着た女性の亡霊。彼女は執着心が強く、多くの人を恐怖に陥れる。彼女が現れると、冷たい風と霧が立ち込める。"
"501","0","249","御神機","15","10","10","8","12","6","Unknown","Unknown","Unknown","","神, 機械","神の力で動く機械。威厳があり、かつ優美な外観を持つ。その風格を見る者を圧倒する。"
"502","0","250","Crypto Clash","15","8","2","10","8","6","Unknown","Unknown","Unknown","","satoshi　vitalik","A terrifying creature with the power of multiple cryptocurrencies. Its body is a chaotic mix of code and digital assets. It seeks to dominate the world of blockchain."
"503","0","251","天竜宇宙神獣","1","1","1","20","20","1","Unknown","Unknown","Unknown","","神, 竜, 宇宙","宇宙から降り立った神獣で、竜のような体躯を持つ。天空を行き来し、宇宙を自在に飛び回る力を持っている。"
"504","0","252","Gengai","20","8","6","2","10","2","Unknown","Unknown","Unknown","","明治　大正　昭和　平成　令和","一匹大きな怪獣で、日本の歴史の時代に合わせて姿を変えることができます。彼はとても古風で、そして時には非常に攻撃的です。"
"505","0","253","魔導神獣サスマリー","15","10","10","12","12","8","Unknown","Unknown","Unknown","","究極研究神さすまり様","魔法によって創造された究極の獣。ATKもDEFも高く、知能も優れている。しかし、攻撃することを好まず、戦うことは最後の手段とする。"
"506","0","254","時空の亡霊","20","20","20","20","20","20","特殊攻撃","特殊攻撃","物理攻撃","???","all status is ２０ and 八skill of 時空","時空を操る怪物。不気味な容姿をしており、周囲に恐怖を与える存在だ。"
"507","0","255","ムンパチ","15","8","10","2","2","2","Unknown","Unknown","Unknown","","巨尻","大きな尻を持つ怪物。彼の尻は強力な武器であり、彼は強力な攻撃を放つことができます。また、彼は非常に頑固であり、攻撃に耐えることができます。"
"508","0","256","ムキュウポル美明村","15","8","6","2","2","3","Unknown","Unknown","Unknown","","ポルシェ、美輪明宏、筋肉、村","村人たちに恐れられる筋肉モンスター。ポルシェに乗って、美輪明宏の歌を聴きながら村を徘徊する。"
"509","0","257","ネオサザビー","23","18","13","8","8","3","Unknown","Unknown","Unknown","","サザビー,ファンネル攻撃","巨大なロボットで、ファンネル攻撃が得意。かなり攻撃的で、人間を敵としか見ていない。"
"510","0","258","Slypetron","8","6","2","3","2","8","Unknown","Unknown","Unknown","","crazy","A chaotic creature with unpredictable behavior. Slypetron is known for its frenzied movements and uncontrollable laughter. It seems to thrive on chaos and mayhem."
"511","0","259","メンタイコドラゴン","15","8","3","2","5","6","特殊攻撃","物理攻撃","物理攻撃","","めんたいこはる","鮮やかなオレンジ色のドラゴンで、非常に攻撃的な性格を持っています。美味しいめんたいこを食べることが大好きで、見つけたら容赦なく襲ってきます。"
"512","0","260","雷神女王","1","1","1","20","20","20","Unknown","Unknown","Unknown","","全知全能空前絶後の神速　女王","女王であると同時に、全知全能で空前絶後の神速を誇る怪物だ。 その知性は人類の1000億倍にも及ぶと言われている。"
"513","0","261","農夫スザンヌ","25","20","16","6","1","1","Unknown","Unknown","Unknown","","伝説王　最強　名が農夫スザンヌ","伝説の怪物で最も強い存在。彼は卓越した農夫であり、収穫時に特に危険である。地方の言い伝えでは、スザンヌが現れたら、長く暑い夏の後に大きな収穫があることを示すものとされる。"
"514","0","262","ドングリウモン","7","5","6","2","3","5","Unknown","Unknown","Unknown","","うんちマン, NFT, 仮想通貨","ドングリを集めることが大好きな茶色いウモンです。彼らは闇の中で生息し、うんちマンを作ることで自らのHPを補充します。最近ではNFTや仮想通貨に興味を持っているとの情報もあります。"
"515","0","264","ブローンキング","15","8","6","10","4","3","Unknown","Unknown","Unknown","","酒乱,高知能,筋肉","酒に酔ってしまうことがあり、賢さは高く、筋肉が非常に発達している。周りの物を思わず破壊してしまうほどの力を持っている。"
"516","0","266","ナキサル","7","3","2","5","6","8","Unknown","Unknown","Unknown","","初めに泣きながら挨拶する","泣きながら挨拶する非常に奇妙な怪物。彼は非常に気まぐれで、予測できない動きをします。彼に悪意がなければ、彼は友達を作るのが簡単ですが、彼に敵対的なものを持つ人々を避けることが最善です。"
"517","0","267","フットスニファ","8","6","2","2","2","10","Unknown","Unknown","Unknown","","自分の足裏を嗅ぎながら戦う","足裏を嗅ぎながら戦う謎の生き物。非常に鋭い感覚を持ち、相手の動きを読み取って攻撃する。"
"518","0","268","Chargeman X","20","8","10","2","6","2","特殊攻撃","特殊攻撃","???","","name,chargeman","A giant robotic monster invented by a secret government organization to defeat all other monsters. Chargeman X has the ability to control electricity and is nearly indestructible."
"519","0","270","サミットロン","15","8","6","2","6","2","Unknown","Unknown","Unknown","","本当にすまないと思っている","彼は自分が他のモンスターよりも強いことに自信を持っており、それによって傲慢で威圧的に振る舞っていますが、本当にすまないと思っています。"
"520","0","271","魔神七","12","8","10","4","8","6","Unknown","Unknown","Unknown","Unknown","七スキル持ちの攻守最強勇者","七つの異なるskillsを持つ、攻撃と防御に最高の能力を備えた勇者。彼は暗黒の魔神を討つため、人々から選ばれた最強の戦士である。"
"521","0","272","うんころん","20","10","10","10","10","10","Unknown","Unknown","Unknown","","うんちマン, NFT, 全知全能","あらゆるものに通じた知恵を持つ、無敵のうんち怪獣。彼の力は神の手にも劣らない。"
"522","0","273","ギャラクシーウェイル","40","1","20","20","20","1","Unknown","Unknown","Unknown","","銀河鯨, 全能, 神速, 無限AI","銀河を自在に泳ぐ巨大な鯨。全知全能であり、神速で行動する。無限に学び、知識を蓄積している無限AIが存在している。"
"523","0","274","キリン","15","8","6","10","8","12","物理攻撃","物理攻撃","物理攻撃","物理攻撃","三十九個の超スキルを持つ最強神","草原に生息する、優雅で美しい神秘的な生き物。長い首と漂うような歩き方が特徴。"
"524","0","276","オメガウェポン","20","10","8","10","6","6","物理攻撃","特殊攻撃","???","???","三十一個の超スキルを持つ最強神","存在感のある獣で、非常に攻撃的で残忍。すべての怪物の中で最も強いskillsを持っている。"
"525","0","277","Leviathos","20","8","6","10","8","4","Unknown","Unknown","Unknown","","dragon,ocean,sky,wave,god","A dragon that roams the open skies and commands the power of the ocean waves. Regarded as a god among its kind, it is feared for its immense strength and feared for its wrath."
"526","0","278","ザ・ペナー","8","3","5","2","6","3","Unknown","Unknown","Unknown","","土下座をキッチリする","彼は日本の伝統文化を尊重するモンスターで、見知らぬ相手にはいつも土下座をする。"
"527","0","279","サンダーゴッド　ライジン","36","20","14","1","14","1","特殊攻撃","特殊攻撃","特殊攻撃","回復","三十九個の超スキルを持つ最強神","雷の力を司る神。三十九個の超skillsを持ち、強大な力で敵を制圧する。信仰されると、災害から人々を守る役割を果たすとされている。"
"528","0","280","無限大神獣","20","10","10","10","10","10","特殊攻撃","???","回復","","全次元で絶対的に最強な存在","全次元で絶対的に最強な存在。彼は永遠に生きており、神秘的な力を持っています。"
"529","0","281","ジュピタークラブ","15","8","6","2","5","3","Unknown","Unknown","Unknown","","オメガ,ルビー,サファイア","宝石を食べる怪物。オメガ、ルビー、サファイアを並べると出現する。高貴な雰囲気を持っており、力も強い。"
"530","0","282","無敵モンスター","20","10","8","20","10","12","Unknown","Unknown","Unknown","Unknown","必中必殺,skill五個,iq億,不意打ち","相手を必中必殺することができるモンスター。知能が極めて高く、五つのskillsを持っている。常に不意打ちを仕掛けてくる。"
"531","0","283","ムゲン","40","1","20","1","20","1","Unknown","Unknown","Unknown","","宇宙 波動 無限 輪廻 不死 消滅","宇宙を旅する怪物。波動を操り、輪廻の力で復活する。不死であり、消滅することができない。"
"532","0","285","ナクサー","8","6","2","3","8","5","Unknown","Unknown","Unknown","","空に向かって泣いて謝らせる力","泣き声で攻撃する怪獣。悪意を持った者を空に向かって泣きながら謝らせることができる。"
"533","0","286","窓際おじさん","8","1","3","5","8","2","???","???","回復","","窓際、座る、おじさん、仕事","仕事が終わって帰り道、いつも窓際の席に座って景色を眺めるおじさん。どこか寂しげな表情をしている。"
"534","0","287","Nanostar","1","10","2","6","8","10","特殊攻撃","特殊攻撃","物理攻撃","","microbe, light speed, high power.","A tiny microbe creature that is incredibly fast and possesses intense power. It is known to quickly enter and infect hosts."
"535","0","288","ケイテイロン","15","6","6","12","14","2","Unknown","Unknown","Unknown","","神族　祝福　創造　宇宙　輪廻","宇宙を制御し、神々の創造と輪廻を担う神族。祝福を与える力を持ち、悪くなった宇宙のバランスを回復することができる。"
"536","0","289","闇天使サリエル","20","8","12","18","18","6","Unknown","Unknown","Unknown","","死者を操る 無限 最愛 天使","死者を操ることができる天使。彼女は無限の力を持ち、愛を奉仕することに情熱を注いでいます。時には、彼女は慈悲深く、時には厳格であり、その神秘的な力は想像を絶します。"
"537","0","290","黄金の千手観音","20","8","4","10","4","6","Unknown","Unknown","Unknown","Unknown","勝利確定,確率操作,自己幸運,","千手観音の姿をした黄金色の怪物。勝利が確定したかのような傲慢な性格で、確率を操作して自分に有利な戦いを展開する。自分自身の幸運も味方するため、強敵を相手にしても自信満々である。"
"538","0","291","太陽月詠","40","20","20","1","20","1","Unknown","Unknown","Unknown","","太陽神　月詠　無限　不死　絶倫","太陽神と月詠の合体モンスター。不死であり、非常に絶倫な力を持つ。制御不能な力を持つが、その力を見せることは滅多にない。"
"539","0","292","ネフェルティティ","23","5","10","15","20","1","特殊攻撃","特殊攻撃","回復","???","スキル八つ,始祖の魔王,無敵,確定","始祖の魔王。シンプルな姿だが、全てを征服すると言われている。"
"540","0","293","月の恐ろしい獣","40","20","20","20","20","20","Unknown","Unknown","Unknown","Unknown","月HPforty,その他status二十,八skill","月の光によって生まれた、肉体を持たない恐ろしい獣。彼の存在は深い夜の中で、鋭い吠え声や冷たい風で知られている。"
"541","0","294","ゼロステイター","0","0","0","0","0","0","特殊攻撃","???","???","","栄光の全ステータス零","一つ目と二つ目の目を持っている怪物。全てのステータスがゼロになってしまったが、とても共感性があり、彼を攻撃するような人には攻撃しない。"
"542","0","295","ジャック・ザ・ディフェイター","0","0","0","0","0","0","Unknown","Unknown","Unknown","","誰も勝てない全ステータス零","強大なモンスターで、勝つために必要な全ステータスが零になる。彼は非常に凶暴で、近くに誰かがいると攻撃を仕掛けてくる。"
"543","0","296","魔神ライドン","40","1","1","20","20","1","物理攻撃","???","???","???","技能八つ,無敵,吸収,反射,無効,神","魔神ライドンは八つの強力な技能を持ち、敵からの攻撃を無敵である限り、吸収し反射することもできます。あらゆる攻撃を無効化する神のような存在です。"
"544","0","297","Omega Behemoth","40","20","20","8","1","1","Unknown","Unknown","Unknown","Unknown","most powerful monster the all status complete","A massive creature with dark purple scales and glowing red eyes. It possesses immense physical strength and an insatiable hunger for destruction. Despite its brutish appearance, it also boasts a high level of intelligence and strategic thinking."
"545","0","298","黒煙仙人","20","8","10","10","12","6","Unknown","Unknown","Unknown","","不死身の絶対神、不死殺し、無敵","煙を操る不死身の存在。神と魔法に対して強力な抵抗力を持ち、不死者をも滅する力を持つ。"
"546","0","299","不死鬼魔","40","20","20","1","1","1","Unknown","Unknown","Unknown","","不死殺最強神不死無敵無敵","一瞬の間に相手を瀕死statusにさせる超人的なATKを持つ。その名の通り、不死であり、どんな攻撃も効かないと言われている。攻撃を受けるとエネルギーを吸収し、その能力を更に高める。"
"547","0","300","魔法神獣","15","8","10","12","15","8","Unknown","Unknown","Unknown","","知恵不死魔法時間星天海地無限","魔法神獣は神秘的な存在で、知恵を持ち、不死である。時間と空間を自在に操り、天と海の力を持つ。彼らは地球を保護する責任がある。"
"548","0","312","Triclops","7","8","2","5","3","6","Unknown","Unknown","Unknown","","みっつんつん","A three-eyed monster with a mischievous personality. He loves playing pranks on unsuspecting victims with his third eye. Beware of his trickery!"
"549","0","313","タイガーパーマ","12","8","2","2","4","6","Unknown","Unknown","Unknown","","虎柄の服,紫のパーマ,破壊者,暴食","紫のパーマで虎柄の服を身にまとい、破壊と暴食を好む。攻撃的で非常に凶暴な怪物である。"
"550","0","314","Yamato no Orochi","40","20","20","1","1","1","Unknown","Unknown","Unknown","","千年戦争","A massive serpent with eight heads and eight tails, said to have fought a thousand-year war. Each head has its own unique ability and possesses immense power."
"551","0","315","カノメラ","25","10","5","20","20","10","Unknown","Unknown","Unknown","","女神 聖なる光 完全消滅 全宇宙","光の女神と言われる怪物。完全消滅によって宇宙を清める能力を持つ。意志が強く、自分の信じた道を進む。"
"552","0","316","サンクル","20","1","8","10","10","2","Unknown","Unknown","Unknown","","サンクチュアリ、サークル","円形の身体を持つモンスター。伝説的な生き物であり、自然と調和して暮らしている。攻撃的ではなく、平穏を愛す存在である。"
"553","0","317","ゾダック","40","10","20","1","20","1","Unknown","Unknown","Unknown","","暗黒神 プロンプト 絶望 全宇宙","プロンプトと呼ばれる暗黒神が創り出した、全宇宙に絶望をまき散らす巨大な怪物。彼の目は見る者を石化させ、彼の鱗は鋭く、燃えるような炎を吹く。"
"554","0","318","神無（かみなし）","20","10","10","10","10","10","???","???","???","","全能力値最強無効反射完全伝説神","二つの頭を持ち、宇宙の中でも最強の存在とされる多元宇宙の神。どんな攻撃も無効化し、反射させてしまう。非常に高い知能を持ち、世界を見守っている。"
"555","0","319","ジェネシス","40","1","1","20","20","1","Unknown","Unknown","Unknown","","多次元宇宙の創造者の創造者","新たな宇宙を生み出し続ける存在。他の宇宙を創造した宇宙の創造者でもある。"
"556","0","320","カオス","40","1","1","20","20","1","Unknown","Unknown","Unknown","","全知全能 救い 慈愛 宇宙崩壊","センチエント古代の神話の生き物。宇宙を制御する力を持ち、無数の星々を生み出す。同時に、宇宙の崩壊を招く恐怖の存在でもある。"
